ghi
269.2336
219.6934
194.455
206.9489
211.6989
204.1237
284.1677
194.56
207.9383
225.1462
182.7318
209.883
141.216
220.894
164.4846
199.3429
101.2422
199.2144
155.9089
209.0682
198.2992
205.4237
190.5684
174.0623
172.1674
132.121
199.8639
201.2293
204.7352
202.3313
204.8615
205.3436
199.8639
175.9414
201.206
198.4175
203.8971
201.8063
205.4237
159.5066
205.7169
134.1572
203.9498
167.5885
204.7512
201.6662
202.3301
203.6709
205.8453
214.4074
210.0308
205.6748
294.0616
203.2315
254.1791
192.3915
200.38
267.9565
215.0585
225.2605
200.7892
111.8835
198.5516
108.7206
199.8639
227.996
190.5684
201.9707
126.4091
174.2976
250.5307
200.2199
250.8162
229.2006
207.1237
198.3715
191.6648
203.0284
199.3519
178.9224
199.8639
242.1531
203.0609
192.6667
231.6573
191.7393
287.3267
291.6636
201.4086
207.9521
202.8449
202.4807
271.9723
212.0186
205.3001
198.3803
201.4515
221.6044
190.9201
174.1619
206.0283
183.9282
216.4555
184.1779
174.0623
160.2316
231.6573
206.1923
180.6766
210.5579
205.2215
128.3963
209.6327
208.8365
209.8005
219.2222
218.9497
159.5066
102.4939
215.4028
184.8025
204.3041
285.3562
181.3801
202.3101
202.7463
139.1366
206.8531
202.7881
199.8639
192.4785
184.1779
209.6266
180.6766
202.4087
194.9091
198.3803
187.1744
174.1619
216.9775
200.38
186.9358
226.7413
195.8608
202.1952
205.7746
292.9482
204.3784
196.1369
198.2992
175.9414
202.1578
199.6759
229.2006
225.3543
205.4693
230.5711
214.1127
197.8095
205.7963
215.1227
209.883
229.2006
203.3287
213.0059
207.0114
205.3357
204.7625
220.7861
