estacion,provincia,region,oaci,latitud,longitud,altura,nro,frecuencia_dias_precipitacion_gt_1mm_anual_amplitud,frecuencia_dias_precipitacion_gt_1mm_anual_cv,frecuencia_dias_precipitacion_gt_1mm_anual_max,frecuencia_dias_precipitacion_gt_1mm_anual_media,frecuencia_dias_precipitacion_gt_1mm_anual_min,frecuencia_dias_precipitacion_gt_1mm_anual_std,frecuencia_dias_precipitacion_gt_1mm_anual_total,humedad_relativa_porcentaje_anual_amplitud,humedad_relativa_porcentaje_anual_cv,humedad_relativa_porcentaje_anual_max,humedad_relativa_porcentaje_anual_media,humedad_relativa_porcentaje_anual_min,humedad_relativa_porcentaje_anual_std,humedad_relativa_porcentaje_anual_total,nubosidad_octavos_anual_amplitud,nubosidad_octavos_anual_cv,nubosidad_octavos_anual_max,nubosidad_octavos_anual_media,nubosidad_octavos_anual_min,nubosidad_octavos_anual_std,nubosidad_octavos_anual_total,precipitacion_mm_anual_amplitud,precipitacion_mm_anual_cv,precipitacion_mm_anual_max,precipitacion_mm_anual_media,precipitacion_mm_anual_min,precipitacion_mm_anual_std,precipitacion_mm_anual_total,temperatura_anual_amplitud,temperatura_anual_cv,temperatura_anual_max,temperatura_anual_media,temperatura_anual_min,temperatura_anual_std,temperatura_anual_total,temperatura_maxima_c_anual_amplitud,temperatura_maxima_c_anual_cv,temperatura_maxima_c_anual_max,temperatura_maxima_c_anual_media,temperatura_maxima_c_anual_min,temperatura_maxima_c_anual_std,temperatura_maxima_c_anual_total,temperatura_minima_c_anual_amplitud,temperatura_minima_c_anual_cv,temperatura_minima_c_anual_max,temperatura_minima_c_anual_media,temperatura_minima_c_anual_min,temperatura_minima_c_anual_std,temperatura_minima_c_anual_total
estacion_virtual_61,Neuquén,Patagonia,VIRTUAL,-37.0,-71.0,1912.0,,11.0,0.5606321451901327,13.2,6.825,2.2,3.826314390922656,81.9,30.4587,0.1781921124156794,77.5051,62.624950000000005,47.0464,11.159272130426302,751.4994,3.5208000000000004,0.39030430491665696,5.173,3.6034333333333333,1.6522,1.4064355424801789,43.2412,76.2424,0.5810407894369888,91.0693,43.635225,14.8269,25.35384558126063,523.6227,14.609,0.6833053058582356,15.2992,7.6548083333333325,0.6902,5.230571149494503,91.8577,18.2894,0.4522933153855108,23.6456,14.608108333333334,5.3562,6.6071497495940426,175.2973,10.1349,1.933557878167384,7.3158,1.8649333333333333,-2.8191,3.6059565389236266,22.3792
estacion_virtual_62,Neuquén,Patagonia,VIRTUAL,-37.0,-70.0,1150.0,,5.250000000000001,0.3084075649145444,9.05,5.983333333333333,3.8,1.8453052634053573,71.8,26.470399999999998,0.18831098326071033,62.9381,49.77950833333333,36.4677,9.374028160484723,597.3541,2.2205,0.2710070713047707,4.391,3.346975,2.1705,0.9070538924802849,40.1637,31.7335,0.3427470527745227,47.4503,29.103641666666665,15.7168,9.975187406255797,349.2437,16.0724,0.6634815910181555,17.0281,8.659258333333334,0.9557,5.745258496037222,103.9111,19.2181,0.4144260620641089,26.08,16.581591666666665,6.8619,6.8718437371717105,198.9791,11.434000000000001,2.110496047275952,8.1463,1.9349249999999998,-3.2877,4.083651564275421,23.219099999999997
estacion_virtual_63,Mendoza,Cuyo,VIRTUAL,-37.0,-69.0,225.0,,2.05,0.14276049307287406,5.3,4.0874999999999995,3.25,0.5835335154353726,49.05,26.0683,0.20708842417560247,58.9863,46.44049166666667,32.918,9.617288237190198,557.2859,2.0599,0.23719612928880487,4.3812,3.409425,2.3213,0.8087024131004836,40.9131,13.538599999999999,0.184507618935851,29.5579,21.55065,16.0193,3.976259118019897,258.6078,17.3253,0.468055922707602,22.3083,13.366191666666666,4.983,6.256125173628327,160.3943,18.641800000000003,0.3128459475900712,30.8453,21.465558333333334,12.2035,6.715412937341617,257.5867,13.7521,0.7765116799609686,13.6308,6.366225,-0.1213,4.943448069759517,76.3947
estacion_virtual_64,La Pampa,Pampeana,VIRTUAL,-37.0,-68.0,310.0,,2.05,0.15098284613592017,5.6,4.220833333333333,3.55,0.6372734297320297,50.65,28.4159,0.22514465889102786,60.8156,47.006341666666664,32.3997,10.583226760256776,564.0761,2.2864999999999998,0.2539232831251385,4.5626,3.436125,2.2761,0.8725121412283665,41.2335,13.209599999999998,0.191188866921447,29.8146,21.664508333333334,16.605,4.142012800660246,259.9741,18.026799999999998,0.4421723054889315,23.9868,14.72595,5.96,6.51140726201473,176.7114,19.133999999999997,0.3068087552923189,32.0941,22.46428333333333,12.9601,6.892238808033984,269.5714,14.675899999999999,0.6641584892465753,15.6481,7.951325,0.9722,5.280939999508525,95.4159
estacion_virtual_65,La Pampa,Pampeana,VIRTUAL,-37.0,-67.0,301.0,,4.5,0.2721967970485166,7.75,5.795833333333333,3.25,1.577607269560361,69.55,32.3695,0.23880786393212208,66.611,50.307050000000004,34.2415,12.013719151226463,603.6846,2.2478,0.2510276882740952,4.6587,3.526408333333333,2.4109,0.8852261318271716,42.3169,33.1947,0.3578386029823884,47.2658,32.638466666666666,14.0711,11.679303315487251,391.6616,19.1016,0.42112942463078373,26.0807,16.407858333333333,6.9791,6.9098319393400764,196.8943,20.1235,0.30231192622501896,34.0355,24.034633333333332,13.912,7.265956299112048,288.4156,15.972299999999999,0.598971786063642,17.8922,9.610758333333333,1.9199,5.756573084342698,115.3291
estacion_virtual_66,La Pampa,Pampeana,VIRTUAL,-37.0,-66.0,246.0,,5.4,0.32470008702885267,8.05,5.733333333333333,2.65,1.8616138322987554,68.8,31.211399999999998,0.2270252016322136,67.0512,51.30596666666667,35.8398,11.64774742743563,615.6716,2.0696000000000003,0.21615855472479756,4.7095,3.6633416666666663,2.6399,0.7918626401297977,43.9601,51.316100000000006,0.4581854848130728,63.2826,41.7942,11.9665,19.149495789374527,501.5304,18.872799999999998,0.41654753618711976,25.8738,16.359825,7.001,6.814644796202447,196.3179,19.8716,0.3013405068509484,33.6462,23.756283333333332,13.7746,7.158730460561404,285.0754,15.844999999999999,0.5927252516372225,17.767,9.615666666666668,1.922,5.6994484446596525,115.388
estacion_virtual_67,La Pampa,Pampeana,VIRTUAL,-36.0,-68.0,679.0,,3.6,0.2633327921297344,6.7,4.529166666666667,3.1,1.1926781043542556,54.35,22.0893,0.16780591842688125,56.473,46.05783333333333,34.3837,7.728777023252225,552.694,1.9427999999999996,0.21611741682312247,4.4277,3.3476999999999997,2.4849,0.723496276298767,40.172399999999996,29.457299999999996,0.28751960078868743,49.3734,29.037725,19.9161,8.348915099811688,348.4527,16.7659,0.41793923541531397,23.1025,14.483125,6.3366,6.053066188924419,173.79749999999999,17.273600000000002,0.28106026663736033,31.0227,22.260341666666665,13.7491,6.256497564272076,267.1241,13.846,0.6358290868447144,15.0563,7.815108333333334,1.2103,4.969073195175851,93.7813
estacion_virtual_68,La Pampa,Pampeana,VIRTUAL,-36.0,-67.0,270.0,,7.45,0.39182823352483814,10.0,6.391666666666667,2.55,2.5044354592795903,76.7,28.8166,0.20216342817635752,66.6379,52.082950000000004,37.8213,10.52926772153782,624.9954,2.0104,0.21755525752624832,4.5301,3.448525,2.5197,0.7502447444607055,41.3823,57.5699,0.47773468572976757,68.9284,39.939166666666665,11.3585,19.080325235808807,479.27,18.6361,0.40428910127479056,26.0095,16.659891666666667,7.3734,6.735412629252039,199.9187,19.331500000000005,0.2857209367626332,33.9819,24.437166666666666,14.6504,6.982210151824595,293.246,15.782399999999999,0.5781593976937711,17.9533,9.842283333333333,2.1709,5.690408603931441,118.1074
estacion_virtual_69,La Pampa,Pampeana,VIRTUAL,-36.0,-66.0,275.0,,8.7,0.43325658928464406,11.0,6.716666666666666,2.3,2.910040091361859,80.6,27.86,0.19387223581962565,66.4122,52.35514166666667,38.5522,10.150208371569908,628.2617,1.7301000000000002,0.1664217812164505,4.5692,3.651308333333333,2.8391,0.6076572366038024,43.8157,69.3747,0.5156368892645388,79.8708,48.110958333333336,10.4961,24.80778489453584,577.3315,18.3,0.39827816380161896,25.6715,16.567275,7.3715,6.598383866196466,198.8073,18.891199999999998,0.28440761586336194,33.1098,23.84935,14.2186,6.782936773390871,286.1922,15.5957,0.5648539892854281,17.8873,9.965525,2.2916,5.629066551573666,119.5863
estacion_virtual_7,Santa Cruz,Patagonia,VIRTUAL,-49.0,-69.0,19.0,,1.9999999999999996,0.1527009820282313,5.85,4.754166666666666,3.85,0.7259659187258829,57.05,39.858200000000004,0.23694679623117854,83.6992,61.84118333333333,43.841,14.653070265978288,742.0942,0.6861000000000006,0.04360324348617278,5.211,4.784,4.5249,0.2085979168378506,57.408,17.1412,0.20708222492245096,33.7229,23.594233333333335,16.5817,4.885946334006124,283.1308,15.2927,0.6828860073634172,15.4799,8.204600000000001,0.1872,5.602806536013894,98.4552,17.919600000000003,0.46443564792644987,22.2541,14.103924999999998,4.3345,6.5503655456810534,169.2471,11.276,1.4150364636515926,8.4627,2.9034333333333335,-2.8133,4.108464036448156,34.8412
