estacion,provincia,region,oaci,mes,frecuencia_dias_precipitacion_gt_1mm,humedad_relativa_porcentaje,nubosidad_octavos,precipitacion_mm,temperatura,temperatura_maxima_c,temperatura_minima_c,latitud,longitud,altura,nro
bahia_blanca_aero,BUENOS AIRES,Pampeana,SAZB,10.0000,6.7000,64.9000,3.8000,69.5000,15.0000,22.1000,8.5000,-38.7000,-62.1500,83.0000,87750.0000
bahia_blanca_aero,BUENOS AIRES,Pampeana,SAZB,11.0000,5.8000,58.1000,3.5000,62.3000,18.7000,26.0000,11.6000,-38.7000,-62.1500,83.0000,87750.0000
bahia_blanca_aero,BUENOS AIRES,Pampeana,SAZB,12.0000,5.3000,52.0000,3.2000,64.7000,22.0000,29.7000,14.5000,-38.7000,-62.1500,83.0000,87750.0000
bariloche_aero,RIO NEGRO,Patagonia,SAZS,1.0000,2.5000,51.9000,2.8000,23.6000,15.4000,23.2000,7.0000,-41.1333,-71.1500,835.0000,87765.0000
bariloche_aero,RIO NEGRO,Patagonia,SAZS,2.0000,2.5000,53.3000,2.7000,17.5000,15.0000,23.1000,6.6000,-41.1333,-71.1500,835.0000,87765.0000
bariloche_aero,RIO NEGRO,Patagonia,SAZS,3.0000,4.1000,60.2000,3.3000,29.4000,12.1000,20.1000,4.9000,-41.1333,-71.1500,835.0000,87765.0000
bariloche_aero,RIO NEGRO,Patagonia,SAZS,4.0000,6.2000,68.2000,4.0000,57.1000,8.1000,15.0000,2.4000,-41.1333,-71.1500,835.0000,87765.0000
bariloche_aero,RIO NEGRO,Patagonia,SAZS,5.0000,10.2000,76.0000,4.9000,113.7000,5.2000,10.6000,1.0000,-41.1333,-71.1500,835.0000,87765.0000
bariloche_aero,RIO NEGRO,Patagonia,SAZS,6.0000,13.3000,79.1000,5.4000,168.3000,3.0000,7.2000,-0.5000,-41.1333,-71.1500,835.0000,87765.0000
bariloche_aero,RIO NEGRO,Patagonia,SAZS,7.0000,11.6000,78.0000,5.0000,126.4000,2.1000,6.7000,-1.6000,-41.1333,-71.1500,835.0000,87765.0000
bariloche_aero,RIO NEGRO,Patagonia,SAZS,8.0000,11.4000,74.9000,4.9000,117.3000,3.1000,8.4000,-1.0000,-41.1333,-71.1500,835.0000,87765.0000
bariloche_aero,RIO NEGRO,Patagonia,SAZS,9.0000,6.5000,66.9000,4.1000,55.4000,5.2000,11.6000,-0.1000,-41.1333,-71.1500,835.0000,87765.0000
bariloche_aero,RIO NEGRO,Patagonia,SAZS,10.0000,6.0000,61.5000,4.0000,48.7000,7.9000,14.7000,1.7000,-41.1333,-71.1500,835.0000,87765.0000
bariloche_aero,RIO NEGRO,Patagonia,SAZS,11.0000,4.0000,56.6000,3.7000,30.1000,10.9000,17.9000,3.9000,-41.1333,-71.1500,835.0000,87765.0000
bariloche_aero,RIO NEGRO,Patagonia,SAZS,12.0000,3.5000,53.6000,3.3000,25.0000,13.5000,20.7000,5.9000,-41.1333,-71.1500,835.0000,87765.0000
base_belgrano_ii,ANTARTIDA,Antártida,SAYB,1.0000,4.1800,83.2400,5.4000,37.1000,-2.6000,0.7000,-6.1000,-77.8667,-34.6167,256.0000,89034.0000
base_belgrano_ii,ANTARTIDA,Antártida,SAYB,2.0000,4.3600,83.2400,5.0000,40.2400,-7.1000,-3.5000,-11.1000,-77.8667,-34.6167,256.0000,89034.0000
base_belgrano_ii,ANTARTIDA,Antártida,SAYB,3.0000,3.6600,86.4000,4.8000,31.0000,-12.3000,-9.1000,-16.5000,-77.8667,-34.6167,256.0000,89034.0000
base_belgrano_ii,ANTARTIDA,Antártida,SAYB,4.0000,3.6600,86.4000,4.4000,31.0000,-16.4000,-13.2000,-20.5000,-77.8667,-34.6167,256.0000,89034.0000
base_belgrano_ii,ANTARTIDA,Antártida,SAYB,5.0000,4.5400,85.6600,4.0000,29.9800,-17.5000,-14.1000,-21.6000,-77.8667,-34.6167,256.0000,89034.0000
base_belgrano_ii,ANTARTIDA,Antártida,SAYB,6.0000,4.5400,85.9200,3.9000,29.9800,-18.9000,-15.7000,-23.0000,-77.8667,-34.6167,256.0000,89034.0000
base_belgrano_ii,ANTARTIDA,Antártida,SAYB,7.0000,4.5400,85.9200,4.1000,29.9800,-20.9000,-17.5000,-25.0000,-77.8667,-34.6167,256.0000,89034.0000
base_belgrano_ii,ANTARTIDA,Antártida,SAYB,8.0000,4.5400,85.9000,4.3000,29.9800,-20.7000,-17.1000,-24.9000,-77.8667,-34.6167,256.0000,89034.0000
base_belgrano_ii,ANTARTIDA,Antártida,SAYB,9.0000,4.5400,85.9000,4.7000,29.9800,-18.4000,-14.9000,-22.8000,-77.8667,-34.6167,256.0000,89034.0000
base_belgrano_ii,ANTARTIDA,Antártida,SAYB,10.0000,3.8400,85.9000,4.8000,33.5400,-14.1000,-10.2000,-18.8000,-77.8667,-34.6167,256.0000,89034.0000
base_belgrano_ii,ANTARTIDA,Antártida,SAYB,11.0000,4.5400,83.3600,5.0000,42.7800,-7.0000,-3.2000,-11.5000,-77.8667,-34.6167,256.0000,89034.0000
base_belgrano_ii,ANTARTIDA,Antártida,SAYB,12.0000,4.5400,76.9400,4.9000,42.7800,-2.7000,0.8000,-6.8000,-77.8667,-34.6167,256.0000,89034.0000
base_carlini_ex_jubany,ANTARTIDA,Antártida,SAYJ,1.0000,8.1000,84.9000,7.1000,40.4400,2.2000,4.3000,0.4000,-62.2333,-58.6500,11.0000,89053.0000
base_carlini_ex_jubany,ANTARTIDA,Antártida,SAYJ,2.0000,8.2600,85.4000,7.0000,40.1600,2.0000,3.9000,0.2000,-62.2333,-58.6500,11.0000,89053.0000
base_carlini_ex_jubany,ANTARTIDA,Antártida,SAYJ,3.0000,8.2000,86.8000,6.9000,38.7400,0.9000,2.9000,-1.2000,-62.2333,-58.6500,11.0000,89053.0000
base_carlini_ex_jubany,ANTARTIDA,Antártida,SAYJ,4.0000,8.6200,85.3600,6.8000,41.7400,-1.2000,0.9000,-3.4000,-62.2333,-58.6500,11.0000,89053.0000
base_carlini_ex_jubany,ANTARTIDA,Antártida,SAYJ,5.0000,8.5200,84.4000,6.5000,38.8400,-2.8000,-0.4000,-5.3000,-62.2333,-58.6500,11.0000,89053.0000
base_carlini_ex_jubany,ANTARTIDA,Antártida,SAYJ,6.0000,7.8600,86.5000,6.4000,34.6600,-5.2000,-2.5000,-8.1000,-62.2333,-58.6500,11.0000,89053.0000
base_carlini_ex_jubany,ANTARTIDA,Antártida,SAYJ,7.0000,7.8600,84.3400,6.4000,34.6600,-5.8000,-3.0000,-9.0000,-62.2333,-58.6500,11.0000,89053.0000
base_carlini_ex_jubany,ANTARTIDA,Antártida,SAYJ,8.0000,8.0600,85.3800,6.6000,35.1200,-5.3000,-2.6000,-8.3000,-62.2333,-58.6500,11.0000,89053.0000
base_carlini_ex_jubany,ANTARTIDA,Antártida,SAYJ,9.0000,8.4000,85.3800,6.7000,37.2200,-3.7000,-1.2000,-6.5000,-62.2333,-58.6500,11.0000,89053.0000
base_carlini_ex_jubany,ANTARTIDA,Antártida,SAYJ,10.0000,8.3800,82.6600,6.9000,37.3200,-1.9000,0.2000,-4.2000,-62.2333,-58.6500,11.0000,89053.0000
base_carlini_ex_jubany,ANTARTIDA,Antártida,SAYJ,11.0000,8.3800,87.6000,7.0000,37.3200,-0.2000,1.7000,-2.2000,-62.2333,-58.6500,11.0000,89053.0000
base_carlini_ex_jubany,ANTARTIDA,Antártida,SAYJ,12.0000,7.6800,84.7000,7.0000,35.9400,1.2000,3.2000,-0.6000,-62.2333,-58.6500,11.0000,89053.0000
base_esperanza,ANTARTIDA,Antártida,SAYE,1.0000,7.9400,80.1000,6.3000,39.0200,1.5000,4.3000,-1.2000,-63.3833,-56.9833,24.0000,88963.0000
base_esperanza,ANTARTIDA,Antártida,SAYE,2.0000,6.2400,79.5000,6.0000,34.4800,0.9000,3.9000,-2.0000,-63.3833,-56.9833,24.0000,88963.0000
base_esperanza,ANTARTIDA,Antártida,SAYE,3.0000,7.7000,84.4000,5.9000,39.5200,-2.0000,1.4000,-5.2000,-63.3833,-56.9833,24.0000,88963.0000
base_esperanza,ANTARTIDA,Antártida,SAYE,4.0000,7.9400,84.4000,5.7000,35.6200,-5.5000,-1.7000,-8.9000,-63.3833,-56.9833,24.0000,88963.0000
base_esperanza,ANTARTIDA,Antártida,SAYE,5.0000,7.4400,85.0000,5.4000,33.7600,-7.4000,-3.2000,-11.2000,-63.3833,-56.9833,24.0000,88963.0000
base_esperanza,ANTARTIDA,Antártida,SAYE,6.0000,7.4400,83.5200,5.3000,33.7600,-10.4000,-6.2000,-14.1000,-63.3833,-56.9833,24.0000,88963.0000
base_esperanza,ANTARTIDA,Antártida,SAYE,7.0000,6.8400,85.0200,5.1000,30.9600,-10.8000,-6.4000,-15.0000,-63.3833,-56.9833,24.0000,88963.0000
base_esperanza,ANTARTIDA,Antártida,SAYE,8.0000,7.4400,85.0200,5.3000,33.7600,-9.5000,-5.1000,-13.7000,-63.3833,-56.9833,24.0000,88963.0000
