estacion,provincia,region,oaci,latitud,longitud,altura,nro,frecuencia_dias_precipitacion_gt_1mm_anual_amplitud,frecuencia_dias_precipitacion_gt_1mm_anual_cv,frecuencia_dias_precipitacion_gt_1mm_anual_max,frecuencia_dias_precipitacion_gt_1mm_anual_media,frecuencia_dias_precipitacion_gt_1mm_anual_min,frecuencia_dias_precipitacion_gt_1mm_anual_std,frecuencia_dias_precipitacion_gt_1mm_anual_total,humedad_relativa_porcentaje_anual_amplitud,humedad_relativa_porcentaje_anual_cv,humedad_relativa_porcentaje_anual_max,humedad_relativa_porcentaje_anual_media,humedad_relativa_porcentaje_anual_min,humedad_relativa_porcentaje_anual_std,humedad_relativa_porcentaje_anual_total,nubosidad_octavos_anual_amplitud,nubosidad_octavos_anual_cv,nubosidad_octavos_anual_max,nubosidad_octavos_anual_media,nubosidad_octavos_anual_min,nubosidad_octavos_anual_std,nubosidad_octavos_anual_total,precipitacion_mm_anual_amplitud,precipitacion_mm_anual_cv,precipitacion_mm_anual_max,precipitacion_mm_anual_media,precipitacion_mm_anual_min,precipitacion_mm_anual_std,precipitacion_mm_anual_total,temperatura_anual_amplitud,temperatura_anual_cv,temperatura_anual_max,temperatura_anual_media,temperatura_anual_min,temperatura_anual_std,temperatura_anual_total,temperatura_maxima_c_anual_amplitud,temperatura_maxima_c_anual_cv,temperatura_maxima_c_anual_max,temperatura_maxima_c_anual_media,temperatura_maxima_c_anual_min,temperatura_maxima_c_anual_std,temperatura_maxima_c_anual_total,temperatura_minima_c_anual_amplitud,temperatura_minima_c_anual_cv,temperatura_minima_c_anual_max,temperatura_minima_c_anual_media,temperatura_minima_c_anual_min,temperatura_minima_c_anual_std,temperatura_minima_c_anual_total,G0_verano_W_m2,G0_invierno_W_m2,declinacion_verano_grados,declinacion_invierno_grados,duracion_dia_verano_horas,duracion_dia_invierno_horas,angulo_cenital_mediodia_verano_grados,angulo_cenital_mediodia_invierno_grados,ghi,dhi,dni
bernardo_de_irigoyen_aero,MISIONES,NEA,SATI,-26.2667,-53.6667,815.0,87163.0,5.5,0.1866,12.0,9.4333,6.5,1.7603,113.2,12.4,0.0505,79.8,75.4583,67.4,3.8097,905.5,1.3,0.0797,5.3,4.7417,4.0,0.3777,56.9,171.5,0.2195,277.9,187.4667,106.4,41.1551,2249.6,8.0,0.1535,22.9,19.275,14.9,2.9588,231.3,8.8,0.1325,28.1,24.225,19.3,3.2105,290.7,7.8,0.1819,19.0,15.3833,11.2,2.7983,184.6,1405.913,1316.8187,-23.0859,23.4498,13.6191,10.3519,3.1808,49.7164,198.3715277777778,85.35741666666665,194.89466666666667
bolivar_aero,BUENOS AIRES,Pampeana,SAZI,-36.1833,-61.0667,94.0,87640.0,4.5,0.272,8.0,5.8333,3.5,1.5865,70.0,15.8,0.0688,81.8,74.7833,66.0,5.1437,897.4,0.9,0.0977,4.2,3.7417,3.3,0.3655,44.9,97.6,0.4086,133.0,84.8417,35.4,34.6628,1018.1,15.0,0.3556,22.3,14.9917,7.3,5.3304,179.9,15.8,0.2564,29.6,21.9333,13.8,5.6229,263.2,13.0,0.5249,15.0,8.7583,2.0,4.5971,105.1,1405.913,1316.8187,-23.0859,23.4498,14.4222,9.5335,13.0974,59.6331,200.7891666666667,73.331,224.85245833333337
buenos_aires_observatorio,CAPITAL FEDERAL,Pampeana,SABA,-34.5833,-58.4833,25.0,87585.0,3.0,0.164,7.9,6.375,4.9,1.0454,76.5,15.9,0.0758,78.7,71.2333,62.8,5.3962,854.8,1.1,0.1152,4.3,3.7083,3.2,0.4274,44.5,72.9,0.2553,134.4,104.8,61.5,26.7578,1257.6,13.9,0.2724,24.9,18.0833,11.0,4.9252,217.0,14.6,0.2258,30.1,22.975,15.5,5.1881,275.7,12.7,0.3275,20.2,13.825,7.5,4.5281,165.9,1405.913,1316.8187,-23.0859,23.4498,14.2786,9.6799,11.4974,58.0331,199.86391666666665,77.28377777777779,212.44079166666666
catamarca_aero,CATAMARCA,NOA,SANC,-28.5833,-65.75,464.0,87222.0,6.4,0.6424,7.0,3.5167,0.6,2.2591,42.2,26.0,0.1679,66.5,54.7167,40.5,9.1856,656.6,1.1,0.1261,3.5,3.1,2.4,0.3908,37.2,78.0,0.8654,80.9,34.2583,2.9,29.6474,411.1,16.1,0.2792,27.8,21.0417,11.7,5.8754,252.5,14.4,0.1859,34.6,28.375,20.2,5.2754,340.5,17.4,0.4352,21.9,14.5833,4.5,6.3468,175.0,1405.913,1316.8187,-23.0859,23.4498,13.7905,10.1773,5.4974,52.0331,215.40283333333332,76.8753611111111,246.17941666666664
ceres_aero,SANTA FE,Pampeana,SANW,-29.8667,-61.9333,88.0,87257.0,6.1,0.4819,7.4,4.825,1.3,2.325,57.9,14.6,0.072,80.8,73.2,66.2,5.2738,878.4,1.1,0.1099,4.1,3.4333,3.0,0.3774,41.2,138.9,0.6841,147.3,78.6,8.4,53.7697,943.2,13.9,0.2566,25.5,19.075,11.6,4.8938,228.9,13.2,0.1796,32.3,26.1,19.1,4.6889,313.2,13.3,0.3542,19.4,13.25,6.1,4.6932,159.0,1405.913,1316.8187,-23.0859,23.4498,13.8891,10.0768,6.7808,53.3164,207.0114166666667,77.20244444444445,218.51579166666667
chamical_aero,LA RIOJA,NOA,SACT,-30.3333,-66.2833,461.0,87320.0,5.4,0.6835,5.8,3.0417,0.4,2.0791,36.5,23.8,0.1498,70.3,58.7167,46.5,8.7983,704.6,1.7,0.1714,3.9,3.225,2.2,0.5529,38.7,90.7,0.9321,93.4,38.3417,2.7,35.7392,460.1,16.0,0.2895,27.0,19.875,11.0,5.7536,238.5,15.2,0.2088,33.8,26.875,18.6,5.6125,322.5,15.6,0.4043,20.6,13.7417,5.0,5.5551,164.9,1405.913,1316.8187,-23.0859,23.4498,13.9257,10.0396,7.2474,53.7831,226.91741666666667,69.83358333333332,270.6840833333334
chilecito_aero,LA RIOJA,NOA,SANO,-29.2167,-67.4333,947.0,87213.0,4.56,0.8585,4.86,2.0217,0.3,1.7356,24.26,17.5,0.0989,68.5,59.4233,51.0,5.8783,713.08,1.7,0.2113,3.6,2.8167,1.9,0.5952,33.8,51.74,1.0652,52.94,17.1817,1.2,18.3015,206.18,16.2,0.3176,25.7,18.5917,9.5,5.9046,223.1,15.7,0.2194,33.7,26.5917,18.0,5.833,319.1,17.6,0.5755,19.1,11.2167,1.5,6.4553,134.6,1405.913,1316.8187,-23.0859,23.4498,13.8388,10.1281,6.1308,52.6664,242.86008333333334,75.30875000000002,304.18787499999996
comodoro_rivadavia_aero,CHUBUT,Patagonia,SAVC,-45.7833,-67.45,46.0,87860.0,2.6,0.266,4.2,2.8917,1.6,0.7692,34.7,20.0,0.1441,59.0,49.3333,39.0,7.1069,592.0,0.4,0.0362,4.5,4.3833,4.1,0.1586,52.6,26.5,0.418,37.2,21.5083,10.7,8.9903,258.1,13.1,0.3548,19.8,13.175,6.7,4.6751,158.1,15.3,0.2952,26.3,18.6917,11.0,5.5173,224.3,10.8,0.4825,13.5,8.0083,2.7,3.8644,96.1,1405.913,1316.8187,-23.0859,23.4498,15.464,8.4701,22.6974,69.2331,181.38008333333332,71.43302777777778,223.6424166666666
concordia_aero,ENTRE RIOS,NEA,SAAC,-31.3,-58.0,37.0,87395.0,3.8,0.1834,8.1,6.4167,4.3,1.1769,77.0,17.0,0.0803,81.6,73.0,64.6,5.8628,876.0,1.1,0.1152,4.0,3.3417,2.9,0.3848,40.1,117.9,0.3101,173.2,122.3333,55.3,37.935,1468.0,13.5,0.2513,25.6,18.95,12.1,4.7628,227.4,14.1,0.1997,31.9,24.8833,17.8,4.9684,298.6,12.1,0.3177,19.5,13.55,7.4,4.3049,162.6,1405.913,1316.8187,-23.0859,23.4498,14.0027,9.9611,8.2141,54.7498,200.58005555555553,78.79611111111112,210.58441666666667
cordoba_aero,CORDOBA,Pampeana,SACO,-31.2833,-64.2,495.0,87344.0,7.9,0.619,8.6,5.0083,0.7,3.1,60.1,20.1,0.1093,75.1,65.9833,55.0,7.2149,791.8,1.3,0.0915,4.3,3.7,3.0,0.3384,44.4,140.5,0.7694,146.5,71.3583,6.0,54.9036,856.3,13.7,0.2809,23.5,17.2583,9.8,4.8485,207.1,12.2,0.177,29.9,24.3917,17.7,4.3175,292.7,13.8,0.4445,17.5,11.15,3.7,4.9563,133.8,1405.913,1316.8187,-23.0859,23.4498,14.0014,9.9624,8.1974,54.7331,209.88300000000004,76.99427777777778,236.59224999999995
cordoba_observatorio,CORDOBA,Pampeana,SACK,-31.4167,-64.1833,425.0,87345.0,8.6,0.6122,9.6,5.325,1.0,3.26,63.9,17.9,0.1018,73.6,65.15,55.7,6.6315,781.8,1.3,0.0961,4.1,3.5167,2.8,0.338,42.2,137.2,0.7617,143.9,67.9667,6.7,51.7677,815.6,13.9,0.2691,24.7,18.3833,10.8,4.9466,220.6,12.8,0.1794,31.2,25.3417,18.4,4.5472,304.1,13.4,0.3763,18.9,12.75,5.5,4.798,153.0,1405.913,1316.8187,-23.0859,23.4498,14.0121,9.9515,8.3308,54.8664,209.88300000000004,76.99427777777778,236.59224999999995
coronel_pringles_aero,BUENOS AIRES,PAMPEANA,SAZP,-38.0,-61.33,247.0,87751.0,4.3,0.2393,7.6,5.6583,3.3,1.3541,67.9,18.3,0.0849,79.5,71.3917,61.2,6.0614,856.7,1.0,0.0979,4.3,3.8583,3.3,0.3777,46.3,70.7,0.3907,93.2,62.775,22.5,24.5272,753.3,15.3,0.4008,21.5,13.65,6.2,5.4705,163.8,16.8,0.2881,29.3,20.7333,12.5,5.9735,248.8,12.6,0.6303,13.7,7.225,1.1,4.5539,86.7,1405.913,1316.8187,-23.0859,23.4498,14.5936,9.3587,14.9141,61.4498,200.38,72.772,227.73058333333333
coronel_suarez_aero,BUENOS AIRES,Pampeana,SAZC,-37.45,-61.8833,233.0,87637.0,4.3,0.3155,7.0,5.2,2.7,1.6407,57.2,20.6,0.0916,81.5,72.5091,60.9,6.6442,797.6,0.9,0.0887,4.4,3.9745,3.5,0.3526,43.72,70.1,0.425,94.2,62.9818,24.1,26.7641,692.8,14.5,0.4004,21.3,13.1436,6.8,5.2632,144.58,16.5,0.2855,29.0,20.1909,12.5,5.7638,222.1,13.4,0.7186,13.8,6.4636,0.4,4.6446,71.1,1405.913,1316.8187,-23.0859,23.4498,14.5407,9.4127,14.3641,60.8998,200.38,72.772,227.73058333333333
corrientes_aero,CORRIENTES,NEA,SARC,-27.4333,-58.75,62.0,87166.0,5.2,0.2877,8.3,6.2583,3.1,1.8007,75.1,11.9,0.0555,80.4,74.125,68.5,4.1128,889.5,1.1,0.0862,4.3,3.6,3.2,0.3104,43.2,152.6,0.4858,184.8,121.2583,32.2,58.9079,1455.1,11.7,0.1951,26.9,21.375,15.2,4.1698,256.5,11.8,0.1536,33.0,27.3417,21.2,4.2005,328.1,11.2,0.243,21.6,16.35,10.4,3.9737,196.2,1405.913,1316.8187,-23.0859,23.4498,13.7044,10.265,4.3474,50.8831,202.84494444444442,77.58213888888888,206.6179583333333
dolores_aero,BUENOS AIRES,Pampeana,SAZD,-36.3167,-57.7167,9.0,87648.0,2.4,0.1375,7.4,6.1417,5.0,0.8447,73.7,14.1,0.0602,85.2,79.1917,71.1,4.7676,950.3,1.0,0.1064,4.0,3.55,3.0,0.3778,42.6,50.5,0.2123,109.2,82.2167,58.7,17.4539,986.6,13.8,0.3282,21.8,15.0583,8.0,4.9417,180.7,14.9,0.2506,28.5,21.25,13.6,5.3245,255.0,11.6,0.4334,15.4,9.675,3.8,4.1929,116.1,1405.913,1316.8187,-23.0859,23.4498,14.4344,9.521,13.2308,59.7664,194.5599722222222,77.43836111111112,212.48433333333332
el_bolson_aero,RIO NEGRO,Patagonia,SAVB,-41.95,-71.5333,326.0,87800.0,9.8,0.4649,13.6,7.875,3.8,3.6614,94.5,24.6,0.1289,83.8,72.1417,59.2,9.2983,865.7,2.5,0.1833,5.6,4.3667,3.1,0.8004,52.4,142.3,0.6507,173.1,75.4667,30.8,49.1063,905.6,13.8,0.4921,17.4,10.15,3.6,4.995,121.8,16.9,0.3608,25.7,17.3333,8.8,6.2545,208.0,8.3,0.825,7.9,3.6167,-0.4,2.9838,43.4,1405.913,1316.8187,-23.0859,23.4498,15.0036,8.9404,18.8641,65.3998,183.92819444444444,76.33841666666667,221.2419166666667
el_calafate_aero,SANTA CRUZ,Patagonia,SAWC,-50.2833,-72.05,204.0,87904.0,2.4,0.3074,3.8,2.6167,1.4,0.8043,31.4,31.8,0.1975,78.4,62.1917,46.6,12.2804,746.3,0.5,0.0313,4.8,4.4833,4.3,0.1403,53.8,13.4,0.3195,20.3,13.4,6.9,4.2815,160.8,13.3,0.6673,13.9,7.4333,0.6,4.9601,89.2,14.0,0.4085,19.2,12.7,5.2,5.1877,152.4,11.6,2.8243,7.2,1.4917,-4.4,4.2129,17.9,1405.913,1316.8187,-23.0859,23.4498,16.1162,7.8029,27.1974,73.7331,134.15716666666665,77.60033333333332,149.64204166666664
el_palomar_aero,BUENOS AIRES,Pampeana,SADP,-34.6,-58.6,12.0,87571.0,2.9,0.1668,7.3,5.8217,4.4,0.9709,69.86,16.6,0.0754,82.1,74.075,65.5,5.5852,888.9,1.0,0.1006,4.2,3.675,3.2,0.3696,44.1,61.8,0.2663,116.3,91.3933,54.5,24.3346,1096.72,14.4,0.302,24.1,17.0083,9.7,5.1369,204.1,13.78,0.2203,29.66,22.46,15.88,4.9488,269.52,13.16,0.3742,19.24,12.5617,6.08,4.7003,150.74,1405.913,1316.8187,-23.0859,23.4498,14.2801,9.6784,11.5141,58.0498,199.86391666666665,77.28377777777779,212.44079166666666
el_trebol,SANTA FE,PAMPEANA,,-32.2,-61.72,96.0,87447.0,5.8,0.3976,8.0,5.225,2.2,2.0776,62.7,12.3,0.0621,78.4,72.3667,66.1,4.4911,868.4,0.9,0.0921,4.1,3.5417,3.2,0.326,42.5,140.7,0.5912,160.0,82.0167,19.3,48.4899,984.2,14.3,0.2936,23.9,17.25,9.6,5.0642,207.0,13.8,0.2025,30.7,24.2667,16.9,4.9152,291.2,13.6,0.44,17.4,11.075,3.8,4.8731,132.9,1405.913,1316.8187,-23.0859,23.4498,14.076,9.8863,9.1141,55.6498,204.73519444444443,76.10680555555555,221.53166666666664
esquel_aero,CHUBUT,Patagonia,SAVE,-42.9,-71.1333,797.0,87803.0,6.1,0.4168,8.8,5.325,2.7,2.2194,63.9,28.0,0.1797,75.4,60.275,47.4,10.8321,723.3,1.5,0.1249,4.6,3.8667,3.1,0.483,46.4,60.8,0.5446,81.1,39.3833,20.3,21.4467,472.6,13.7,0.5734,15.4,8.6,1.7,4.9315,103.2,16.1,0.3936,22.3,14.5667,6.2,5.7342,174.8,11.0,1.2942,8.6,3.0,-2.4,3.8826,36.0,1405.913,1316.8187,-23.0859,23.4498,15.1112,8.8305,19.8141,66.3498,182.73177777777778,78.49733333333334,221.51087500000003
ezeiza_aero,BUENOS AIRES,Pampeana,SAEZ,-34.8167,-58.5333,20.0,87576.0,3.0,0.1691,7.5,5.7917,4.5,0.9793,69.5,15.6,0.0712,79.7,72.6667,64.1,5.1713,872.0,1.1,0.1104,4.5,3.9,3.4,0.4306,46.8,60.1,0.2648,108.5,84.575,48.4,22.3961,1014.9,14.3,0.2977,24.1,17.0417,9.8,5.0726,204.5,15.3,0.2372,30.3,22.7083,15.0,5.3868,272.5,12.7,0.3918,17.9,11.5417,5.2,4.522,138.5,1405.913,1316.8187,-23.0859,23.4498,14.2991,9.659,11.7308,58.2664,199.86391666666665,77.28377777777779,212.44079166666666
formosa_aero,FORMOSA,NEA,SARF,-26.2,-58.2167,60.0,87162.0,4.9,0.2638,8.3,6.3333,3.4,1.6708,76.0,11.9,0.0562,81.2,74.5083,69.3,4.1895,894.1,1.0,0.0671,4.5,3.9333,3.5,0.264,47.2,143.6,0.4386,178.4,117.2083,34.8,51.4051,1406.5,11.3,0.1802,27.7,22.45,16.4,4.0455,269.4,11.4,0.1422,34.1,28.6167,22.7,4.0691,343.4,11.0,0.225,22.5,17.375,11.5,3.9099,208.5,1405.913,1316.8187,-23.0859,23.4498,13.6143,10.3568,3.1141,49.6498,201.9707222222222,81.16088888888889,198.06595833333336
general_pico_aero,LA PAMPA,Pampeana,SAZG,-35.6833,-63.75,145.0,87532.0,5.1,0.3667,7.8,5.3833,2.7,1.9738,64.6,19.0,0.0937,78.0,68.0083,59.0,6.3734,816.1,1.0,0.1,4.0,3.45,3.0,0.3451,41.4,114.7,0.5833,130.6,73.7667,15.9,43.0312,885.2,15.8,0.3487,23.8,16.2667,8.0,5.6725,195.2,15.8,0.2436,30.9,23.3917,15.1,5.6982,280.7,14.6,0.5208,17.1,10.1,2.5,5.2596,121.2,1405.913,1316.8187,-23.0859,23.4498,14.3766,9.58,12.5974,59.1331,206.02833333333334,74.43502777777778,226.5482083333333
gobernador_gregores_aero,SANTA CRUZ,Patagonia,SAWR,-48.7667,-70.15,358.0,87880.0,2.0,0.1996,3.8,2.5167,1.8,0.5024,30.2,30.66,0.1947,74.36,56.0183,43.7,10.9086,672.22,0.7,0.0577,4.2,3.84,3.5,0.2217,46.08,8.1,0.243,16.2,10.45,8.1,2.5397,125.4,13.4,0.5443,15.3,9.055,1.9,4.9283,108.66,16.9,0.4216,22.6,14.7667,5.7,6.2252,177.2,11.6,1.124,9.2,3.7667,-2.4,4.2337,45.2,1405.913,1316.8187,-23.0859,23.4498,15.8799,8.0448,25.6808,72.2164,165.6209722222222,77.17844444444445,203.75887500000002
gualeguaychu_aero,ENTRE RIOS,NEA,SAAG,-33.0,-58.6,23.0,87497.0,3.4,0.1931,7.6,5.9833,4.2,1.1551,71.8,16.2,0.0741,82.0,74.275,65.8,5.5067,891.3,1.0,0.0969,4.1,3.525,3.1,0.3415,42.3,83.7,0.3134,140.2,101.5,56.5,31.8082,1218.0,14.2,0.2803,24.9,17.925,10.7,5.0249,215.1,14.6,0.2142,31.2,24.025,16.6,5.1455,288.3,12.8,0.3654,18.8,12.4583,6.0,4.5528,149.5,1405.913,1316.8187,-23.0859,23.4498,14.1426,9.8185,9.9141,56.4498,201.1626111111111,74.37947222222222,219.78224999999998
iguazu_aero,MISIONES,NEA,SARI,-25.7167,-54.4667,270.0,87097.0,5.5,0.1676,11.4,8.3167,5.9,1.394,99.8,12.8,0.0512,88.6,81.1417,75.8,4.1535,973.7,0.9,0.0814,4.1,3.65,3.2,0.297,43.8,163.3,0.2684,247.0,163.3083,83.7,43.8337,1959.7,9.9,0.1699,25.8,21.35,15.9,3.6265,256.2,9.8,0.1303,32.0,27.6833,22.2,3.6063,332.2,9.7,0.215,20.7,16.275,11.0,3.4999,195.3,1405.913,1316.8187,-23.0859,23.4498,13.5795,10.3922,2.6308,49.1664,202.15777777777774,83.69616666666666,197.05958333333334
