estacion,provincia,region,oaci,latitud,longitud,altura,nro,frecuencia_dias_precipitacion_gt_1mm_anual_amplitud,frecuencia_dias_precipitacion_gt_1mm_anual_cv,frecuencia_dias_precipitacion_gt_1mm_anual_max,frecuencia_dias_precipitacion_gt_1mm_anual_media,frecuencia_dias_precipitacion_gt_1mm_anual_min,frecuencia_dias_precipitacion_gt_1mm_anual_std,frecuencia_dias_precipitacion_gt_1mm_anual_total,humedad_relativa_porcentaje_anual_amplitud,humedad_relativa_porcentaje_anual_cv,humedad_relativa_porcentaje_anual_max,humedad_relativa_porcentaje_anual_media,humedad_relativa_porcentaje_anual_min,humedad_relativa_porcentaje_anual_std,humedad_relativa_porcentaje_anual_total,nubosidad_octavos_anual_amplitud,nubosidad_octavos_anual_cv,nubosidad_octavos_anual_max,nubosidad_octavos_anual_media,nubosidad_octavos_anual_min,nubosidad_octavos_anual_std,nubosidad_octavos_anual_total,precipitacion_mm_anual_amplitud,precipitacion_mm_anual_cv,precipitacion_mm_anual_max,precipitacion_mm_anual_media,precipitacion_mm_anual_min,precipitacion_mm_anual_std,precipitacion_mm_anual_total,temperatura_anual_amplitud,temperatura_anual_cv,temperatura_anual_max,temperatura_anual_media,temperatura_anual_min,temperatura_anual_std,temperatura_anual_total,temperatura_maxima_c_anual_amplitud,temperatura_maxima_c_anual_cv,temperatura_maxima_c_anual_max,temperatura_maxima_c_anual_media,temperatura_maxima_c_anual_min,temperatura_maxima_c_anual_std,temperatura_maxima_c_anual_total,temperatura_minima_c_anual_amplitud,temperatura_minima_c_anual_cv,temperatura_minima_c_anual_max,temperatura_minima_c_anual_media,temperatura_minima_c_anual_min,temperatura_minima_c_anual_std,temperatura_minima_c_anual_total,G0_verano_W_m2,G0_invierno_W_m2,declinacion_verano_grados,declinacion_invierno_grados,duracion_dia_verano_horas,duracion_dia_invierno_horas,angulo_cenital_mediodia_verano_grados,angulo_cenital_mediodia_invierno_grados
cordoba_observatorio,CORDOBA,Pampeana,SACK,-31.4167,-64.1833,425.0000,87345.0000,8.6000,0.6122,9.6000,5.3250,1.0000,3.2600,63.9000,17.9000,0.1018,73.6000,65.1500,55.7000,6.6315,781.8000,1.3000,0.0961,4.1000,3.5167,2.8000,0.3380,42.2000,137.2000,0.7617,143.9000,67.9667,6.7000,51.7677,815.6000,13.9000,0.2691,24.7000,18.3833,10.8000,4.9466,220.6000,12.8000,0.1794,31.2000,25.3417,18.4000,4.5472,304.1000,13.4000,0.3763,18.9000,12.7500,5.5000,4.7980,153.0000,1405.9130,1316.8187,-23.0859,23.4498,14.0121,9.9515,8.3308,54.8665
coronel_pringles_aero,BUENOS AIRES,PAMPEANA,SAZP,-38.0000,-61.3300,247.0000,87751.0000,4.3000,0.2393,7.6000,5.6583,3.3000,1.3541,67.9000,18.3000,0.0849,79.5000,71.3917,61.2000,6.0614,856.7000,1.0000,0.0979,4.3000,3.8583,3.3000,0.3777,46.3000,70.7000,0.3907,93.2000,62.7750,22.5000,24.5272,753.3000,15.3000,0.4008,21.5000,13.6500,6.2000,5.4705,163.8000,16.8000,0.2881,29.3000,20.7333,12.5000,5.9735,248.8000,12.6000,0.6303,13.7000,7.2250,1.1000,4.5539,86.7000,1405.9130,1316.8187,-23.0859,23.4498,14.5936,9.3587,14.9141,61.4498
coronel_suarez_aero,BUENOS AIRES,Pampeana,SAZC,-37.4500,-61.8833,233.0000,87637.0000,4.3000,0.3155,7.0000,5.2000,2.7000,1.6407,57.2000,20.6000,0.0916,81.5000,72.5091,60.9000,6.6442,797.6000,0.9000,0.0887,4.4000,3.9745,3.5000,0.3526,43.7200,70.1000,0.4250,94.2000,62.9818,24.1000,26.7641,692.8000,14.5000,0.4004,21.3000,13.1436,6.8000,5.2632,144.5800,16.5000,0.2855,29.0000,20.1909,12.5000,5.7638,222.1000,13.4000,0.7186,13.8000,6.4636,0.4000,4.6446,71.1000,1405.9130,1316.8187,-23.0859,23.4498,14.5407,9.4127,14.3641,60.8998
corrientes_aero,CORRIENTES,NEA,SARC,-27.4333,-58.7500,62.0000,87166.0000,5.2000,0.2877,8.3000,6.2583,3.1000,1.8007,75.1000,11.9000,0.0555,80.4000,74.1250,68.5000,4.1128,889.5000,1.1000,0.0862,4.3000,3.6000,3.2000,0.3104,43.2000,152.6000,0.4858,184.8000,121.2583,32.2000,58.9079,1455.1000,11.7000,0.1951,26.9000,21.3750,15.2000,4.1698,256.5000,11.8000,0.1536,33.0000,27.3417,21.2000,4.2005,328.1000,11.2000,0.2430,21.6000,16.3500,10.4000,3.9737,196.2000,1405.9130,1316.8187,-23.0859,23.4498,13.7044,10.2650,4.3474,50.8831
dolores_aero,BUENOS AIRES,Pampeana,SAZD,-36.3167,-57.7167,9.0000,87648.0000,2.4000,0.1375,7.4000,6.1417,5.0000,0.8447,73.7000,14.1000,0.0602,85.2000,79.1917,71.1000,4.7676,950.3000,1.0000,0.1064,4.0000,3.5500,3.0000,0.3778,42.6000,50.5000,0.2123,109.2000,82.2167,58.7000,17.4539,986.6000,13.8000,0.3282,21.8000,15.0583,8.0000,4.9417,180.7000,14.9000,0.2506,28.5000,21.2500,13.6000,5.3245,255.0000,11.6000,0.4334,15.4000,9.6750,3.8000,4.1929,116.1000,1405.9130,1316.8187,-23.0859,23.4498,14.4344,9.5210,13.2308,59.7665
el_bolson_aero,RIO NEGRO,Patagonia,SAVB,-41.9500,-71.5333,326.0000,87800.0000,9.8000,0.4649,13.6000,7.8750,3.8000,3.6614,94.5000,24.6000,0.1289,83.8000,72.1417,59.2000,9.2983,865.7000,2.5000,0.1833,5.6000,4.3667,3.1000,0.8004,52.4000,142.3000,0.6507,173.1000,75.4667,30.8000,49.1063,905.6000,13.8000,0.4921,17.4000,10.1500,3.6000,4.9950,121.8000,16.9000,0.3608,25.7000,17.3333,8.8000,6.2545,208.0000,8.3000,0.8250,7.9000,3.6167,-0.4000,2.9838,43.4000,1405.9130,1316.8187,-23.0859,23.4498,15.0036,8.9404,18.8641,65.3998
el_calafate_aero,SANTA CRUZ,Patagonia,SAWC,-50.2833,-72.0500,204.0000,87904.0000,2.4000,0.3074,3.8000,2.6167,1.4000,0.8043,31.4000,31.8000,0.1975,78.4000,62.1917,46.6000,12.2804,746.3000,0.5000,0.0313,4.8000,4.4833,4.3000,0.1403,53.8000,13.4000,0.3195,20.3000,13.4000,6.9000,4.2815,160.8000,13.3000,0.6673,13.9000,7.4333,0.6000,4.9601,89.2000,14.0000,0.4085,19.2000,12.7000,5.2000,5.1877,152.4000,11.6000,2.8243,7.2000,1.4917,-4.4000,4.2129,17.9000,1405.9130,1316.8187,-23.0859,23.4498,16.1162,7.8029,27.1974,73.7331
el_palomar_aero,BUENOS AIRES,Pampeana,SADP,-34.6000,-58.6000,12.0000,87571.0000,2.9000,0.1668,7.3000,5.8217,4.4000,0.9709,69.8600,16.6000,0.0754,82.1000,74.0750,65.5000,5.5852,888.9000,1.0000,0.1006,4.2000,3.6750,3.2000,0.3696,44.1000,61.8000,0.2663,116.3000,91.3933,54.5000,24.3346,1096.7200,14.4000,0.3020,24.1000,17.0083,9.7000,5.1369,204.1000,13.7800,0.2203,29.6600,22.4600,15.8800,4.9488,269.5200,13.1600,0.3742,19.2400,12.5617,6.0800,4.7003,150.7400,1405.9130,1316.8187,-23.0859,23.4498,14.2801,9.6784,11.5141,58.0498
el_trebol,SANTA FE,PAMPEANA,,-32.2000,-61.7200,96.0000,87447.0000,5.8000,0.3976,8.0000,5.2250,2.2000,2.0776,62.7000,12.3000,0.0621,78.4000,72.3667,66.1000,4.4911,868.4000,0.9000,0.0921,4.1000,3.5417,3.2000,0.3260,42.5000,140.7000,0.5912,160.0000,82.0167,19.3000,48.4899,984.2000,14.3000,0.2936,23.9000,17.2500,9.6000,5.0642,207.0000,13.8000,0.2025,30.7000,24.2667,16.9000,4.9152,291.2000,13.6000,0.4400,17.4000,11.0750,3.8000,4.8731,132.9000,1405.9130,1316.8187,-23.0859,23.4498,14.0760,9.8863,9.1141,55.6498
esquel_aero,CHUBUT,Patagonia,SAVE,-42.9000,-71.1333,797.0000,87803.0000,6.1000,0.4168,8.8000,5.3250,2.7000,2.2194,63.9000,28.0000,0.1797,75.4000,60.2750,47.4000,10.8321,723.3000,1.5000,0.1249,4.6000,3.8667,3.1000,0.4830,46.4000,60.8000,0.5446,81.1000,39.3833,20.3000,21.4467,472.6000,13.7000,0.5734,15.4000,8.6000,1.7000,4.9315,103.2000,16.1000,0.3936,22.3000,14.5667,6.2000,5.7342,174.8000,11.0000,1.2942,8.6000,3.0000,-2.4000,3.8826,36.0000,1405.9130,1316.8187,-23.0859,23.4498,15.1112,8.8305,19.8141,66.3498
estacion_virtual_0,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Patagonia,VIRTUAL,-52.0000,-60.0000,0.0000,,5.8000,0.1465,15.1500,12.4083,9.3500,1.8179,148.9000,10.1968,0.0457,88.4194,83.8714,78.2226,3.8289,1006.4567,0.7277,0.0422,6.4620,6.0530,5.7343,0.2557,72.6354,27.7652,0.1635,63.5421,49.1843,35.7769,8.0413,590.2117,7.1618,0.4133,10.0659,6.4404,2.9041,2.6617,77.2848,8.2837,0.3618,12.5361,8.4679,4.2524,3.0633,101.6153,5.8594,0.4980,7.4394,4.4270,1.5800,2.2045,53.1244,1405.9130,1316.8187,-23.0859,23.4498,16.4085,7.5034,28.9141,75.4498
estacion_virtual_1,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Patagonia,VIRTUAL,-52.0000,-59.0000,0.0000,,5.9500,0.1354,15.9000,13.1542,9.9500,1.7806,157.8500,11.7461,0.0521,89.3190,83.8032,77.5729,4.3641,1005.6386,0.7277,0.0422,6.4620,6.0530,5.7343,0.2557,72.6354,29.9812,0.1604,66.6799,51.9113,36.6987,8.3276,622.9358,7.4421,0.4331,10.1565,6.3893,2.7144,2.7674,76.6721,8.8266,0.3780,12.9145,8.6088,4.0879,3.2543,103.3051,5.9326,0.5287,7.3060,4.2391,1.3734,2.2411,50.8697,1405.9130,1316.8187,-23.0859,23.4498,16.4085,7.5034,28.9141,75.4498
